store_id,CLUSTER,CLUSNAME,VAR1,n,avg
3,1,CL9,4,383,163.91906005
4,1,CL9,5,2082,129.83285303
5,1,CL9,6,124,1487.3951613
6,1,CL9,7,2653,523.92875989
7,1,CL9,8,122,897.62295082
8,1,CL9,9,1153,447.12489159
9,1,CL9,10,13,1520
10,1,CL9,11,7,1301.4285714
12,1,CL9,12,1352,679.97411243
14,1,CL9,14,1057,200.60832545
15,1,CL9,15,272,135
16,1,CL9,16,92,472.06521739
18,1,CL9,17,941,181.92454835
19,1,CL9,18,320,438.78125
20,1,CL9,19,138,188.92753623
21,1,CL9,20,408,141.55392157
25,1,CL9,24,483,252.29813665
26,1,CL9,25,901,580.1054384
27,1,CL9,26,89,1596.3932584
28,1,CL9,27,2733,100.78521771
29,1,CL9,28,124,129.08064516
31,1,CL9,30,19,2000
32,1,CL9,31,2509,125.89278597
35,1,CL9,34,1433,88.41521284
36,1,CL9,35,513,1070.2046784
37,1,CL9,36,741,245.87989204
38,1,CL9,37,624,380.58653846
40,1,CL9,39,1963,93.201732043
41,1,CL9,40,281,134.23487544
42,1,CL9,41,18,170.27777778
43,1,CL9,42,1897,149.8729573
46,1,CL9,45,1060,103.08113208
48,1,CL9,46,26,1051.9230769
49,1,CL9,47,2301,225.07779226
53,1,CL9,51,23,881.30434783
56,1,CL9,54,16,1112.5
57,1,CL9,55,79,1046.7974684
58,1,CL9,56,46,927.2826087
60,1,CL9,58,1412,133.43413598
61,1,CL9,59,2,542.5
62,1,CL9,60,33,179.54545455
63,1,CL9,61,387,107.10335917
67,1,CL9,65,2093,52.160535117
69,1,CL9,67,196,2142.1326531
70,1,CL9,68,843,92.765124555
71,1,CL9,69,2185,102.28787185
72,1,CL9,70,240,146.775
74,1,CL9,72,68,230.39705882
75,1,CL9,73,664,119.85090361
76,1,CL9,74,26,166.23076923
77,1,CL9,75,77,741.55844156
78,1,CL9,76,474,153.21097046
79,1,CL9,77,20,343.25
80,1,CL9,78,1172,135.48208191
81,1,CL9,79,8,413.75
83,1,CL9,81,33,502.27272727
84,1,CL9,82,112,661.8125
86,1,CL9,84,813,188.23739237
87,1,CL9,85,776,536.38530928
89,1,CL9,87,246,335.86178862
90,1,CL9,88,42,135.47619048
91,1,CL9,89,1374,245.75691412
92,1,CL9,90,1612,98.436724566
93,1,CL9,91,64,178.78125
94,1,CL9,92,529,114.37618147
95,1,CL9,93,401,76.321695761
96,1,CL9,94,2012,40.599403579
98,1,CL9,96,1996,32.144789579
99,1,CL9,97,6,1608.3333333
100,1,CL9,98,1218,233.66420361
101,1,CL9,99,8,91.5
102,1,CL9,100,101,245.38613861
103,1,CL9,101,90,245.27777778
106,1,CL9,104,2712,413.99336283
107,1,CL9,105,141,55.468085106
108,1,CL9,106,14,384.64285714
112,1,CL9,110,427,195.15456674
113,1,CL9,111,31,1759.3548387
114,1,CL9,112,639,22.743348983
115,1,CL9,113,1500,32.141333333
116,1,CL9,114,266,354.43233083
117,1,CL9,115,360,178.81944444
119,1,CL9,117,233,319.18454936
120,1,CL9,118,2806,100.83321454
121,1,CL9,119,2550,506.80509804
122,1,CL9,120,18,1674.1666667
124,1,CL9,122,181,1201.9944751
125,1,CL9,123,36,519.58333333
127,1,CL9,125,118,200.46610169
128,1,CL9,126,34,1656.6176471
129,1,CL9,127,788,418.55837563
130,1,CL9,128,35,762.85714286
131,1,CL9,129,479,299.82254697
132,1,CL9,130,198,222.04040404
133,1,CL9,131,48,307.70833333
135,1,CL9,133,571,225.42381786
136,1,CL9,134,13,532.53846154
137,1,CL9,135,1837,97.230266739
138,1,CL9,136,1747,459.61877504
139,1,CL9,137,1103,659.52130553
141,1,CL9,139,167,463.44311377
142,1,CL9,140,387,1745.7105943
143,1,CL9,141,483,384.31469979
144,1,CL9,142,2135,113.41405152
145,1,CL9,143,181,279.94475138
146,1,CL9,144,181,323.93922652
147,1,CL9,145,116,180.68965517
149,1,CL9,147,229,1300.650655
150,1,CL9,148,367,52.814713896
151,1,CL9,149,104,690.67307692
153,1,CL9,151,560,153.03214286
154,1,CL9,152,81,1612.962963
155,1,CL9,153,916,990.45851528
156,1,CL9,154,494,105.18421053
157,1,CL9,155,24,850.41666667
158,1,CL9,156,570,166.50175439
159,1,CL9,157,4,825
160,1,CL9,158,2747,107.26465235
162,1,CL9,160,1117,58.581915846
163,1,CL9,161,2085,48.945323741
164,1,CL9,162,23,20.391304348
168,1,CL9,166,75,132.78666667
169,1,CL9,167,1631,58.8436542
170,1,CL9,168,65,201
171,1,CL9,169,131,1562.5572519
172,1,CL9,170,1442,49.29334258
173,1,CL9,171,2996,147.75901202
174,1,CL9,172,824,168.54126214
176,1,CL9,174,138,949.66666667
177,1,CL9,175,349,215.31805158
178,1,CL9,176,743,102.63257066
179,1,CL9,177,1428,303.62535014
180,1,CL9,178,667,117.17991004
183,1,CL9,181,52,361.15384615
186,1,CL9,184,1442,133.61581137
187,1,CL9,185,637,258.88697017
188,1,CL9,186,2052,117.44590643
189,1,CL9,187,7,764.28571429
190,1,CL9,188,1331,198.04808415
193,1,CL9,191,730,58.935616438
194,1,CL9,192,310,216.52580645
195,1,CL9,193,275,1279.9709091
196,1,CL9,194,2273,86.322481302
197,1,CL9,195,252,308.03968254
198,1,CL9,196,16,1387.1875
199,1,CL9,197,60,224.66666667
200,1,CL9,198,242,157.48760331
201,1,CL9,199,1,400
202,1,CL9,200,411,170.12408759
203,1,CL9,201,249,40.124497992
204,1,CL9,202,1168,118.36900685
205,1,CL9,203,1592,92.023241206
206,1,CL9,204,372,106.59139785
207,1,CL9,205,116,1690.5086207
208,1,CL9,206,2,857
209,1,CL9,207,2035,69.377395577
210,1,CL9,208,216,394.88888889
211,1,CL9,209,269,183.51301115
213,1,CL9,211,26,191.84615385
214,1,CL9,212,733,56.006821282
216,1,CL9,214,738,633.77235772
217,1,CL9,215,1534,142.14276402
218,1,CL9,216,760,143.14078947
219,1,CL9,217,18,507.22222222
220,1,CL9,218,18,413.61111111
222,1,CL9,220,1307,148.020658
223,1,CL9,221,1606,140.94084682
224,1,CL9,222,63,2190.7936508
225,1,CL9,223,30,691.33333333
226,1,CL9,224,30,638.33333333
228,1,CL9,226,401,261.68329177
229,1,CL9,227,57,147.63157895
230,1,CL9,228,56,185.53571429
231,1,CL9,229,910,593.69450549
232,1,CL9,230,407,203.28501229
233,1,CL9,231,12,223.33333333
235,1,CL9,233,245,205.85714286
237,1,CL9,235,29,1584.6551724
238,1,CL9,236,703,240.0455192
241,1,CL9,239,597,210.73366834
242,1,CL9,240,568,166.27464789
243,1,CL9,241,104,232.63461538
244,1,CL9,242,1023,39.156402737
246,1,CL9,244,1070,479.29906542
248,1,CL9,246,26,740.38461538
250,1,CL9,248,240,1400.0416667
252,1,CL9,250,377,39.25729443
253,1,CL9,251,150,166.06666667
254,1,CL9,252,112,178.21428571
256,1,CL9,254,1533,208.83626875
257,1,CL9,255,193,353.86010363
258,1,CL9,256,760,152.74342105
259,1,CL9,257,230,209.04347826
260,1,CL9,258,766,43.834203655
261,1,CL9,259,230,656.30434783
262,1,CL9,260,101,1478.0891089
263,1,CL9,261,30,807.66666667
265,1,CL9,262,414,80.562801932
266,1,CL9,263,66,147.12121212
269,1,CL9,266,1335,181.53333333
270,1,CL9,267,1062,60.994350282
271,1,CL9,268,754,94.787798408
272,1,CL9,269,3,495
273,1,CL9,270,976,244.74385246
274,1,CL9,271,875,74.257142857
275,1,CL9,272,2005,35.889775561
276,1,CL9,273,2611,111.12409039
277,1,CL9,274,1207,163.65865783
280,1,CL9,277,748,162.20721925
281,1,CL9,278,106,656.27358491
282,1,CL9,279,1136,136.41637324
283,1,CL9,280,219,172.49771689
286,1,CL9,283,851,80.884841363
287,1,CL9,284,1156,371.183391
288,1,CL9,285,178,68.820224719
289,1,CL9,286,590,129.70338983
292,1,CL9,289,1174,137.39778535
295,1,CL9,292,8,828.125
296,1,CL9,293,182,1481.8626374
297,1,CL9,294,76,332.89473684
298,1,CL9,295,26,592.92307692
299,1,CL9,296,254,96.051181102
300,1,CL9,297,301,241.41196013
301,1,CL9,298,372,640.27956989
303,1,CL9,300,206,68.223300971
305,1,CL9,302,18,1008.3333333
306,1,CL9,303,62,1059.2741935
307,1,CL9,304,110,270.31818182
308,1,CL9,305,334,85.410179641
311,1,CL9,308,373,214.63806971
312,1,CL9,309,41,1656.7073171
313,1,CL9,310,21,697.14285714
315,1,CL9,312,139,1255.1582734
316,1,CL9,313,13,93.461538462
317,1,CL9,314,250,344.42
318,1,CL9,315,486,224.02263374
319,1,CL9,316,7,422
321,1,CL9,318,94,178.08510638
322,1,CL9,319,37,1193.2432432
324,1,CL9,321,29,1353.4482759
326,1,CL9,323,1465,361.08259386
327,1,CL9,324,1055,385.00663507
328,1,CL9,325,169,87.852071006
329,1,CL9,326,2263,58.893062307
331,1,CL9,328,1260,97.723015873
332,1,CL9,329,130,565.15384615
336,1,CL9,333,95,286.96842105
337,1,CL9,334,702,228.65527066
339,1,CL9,336,258,407.24806202
342,1,CL9,339,373,113.40482574
344,1,CL9,341,75,110.49333333
345,1,CL9,342,1667,85.527294541
346,1,CL9,343,20,951.95
347,1,CL9,344,90,100.5
348,1,CL9,345,655,122.92977099
349,1,CL9,346,738,481.35365854
350,1,CL9,347,4,0
351,1,CL9,348,46,195.04347826
352,1,CL9,349,2079,164.75998076
353,1,CL9,350,61,566.55737705
354,1,CL9,351,158,272.90506329
357,1,CL9,354,1009,45.325074331
358,1,CL9,355,714,133.50140056
359,1,CL9,356,900,328.76555556
360,1,CL9,357,676,580.34023669
361,1,CL9,358,2988,114.33801874
363,1,CL9,360,2062,380.02909796
364,1,CL9,361,39,218.46153846
365,1,CL9,362,930,185.15806452
366,1,CL9,363,1855,180.21239892
368,1,CL9,365,214,104.14953271
369,1,CL9,366,1353,48.011825573
371,1,CL9,368,486,635.67078189
372,1,CL9,369,486,209.15020576
374,1,CL9,371,429,246.5990676
375,1,CL9,372,1595,151.18808777
376,1,CL9,373,32,1406.25
377,1,CL9,374,2557,246.09659758
379,1,CL9,376,601,101.81530782
380,1,CL9,377,1500,325.89
381,1,CL9,378,1684,118.05225653
382,1,CL9,379,2992,199.34592246
383,1,CL9,380,634,157.54731861
386,1,CL9,382,7,264.28571429
387,1,CL9,383,2,435
388,1,CL9,384,1946,285.25899281
391,1,CL9,387,1202,113.7312812
392,1,CL9,388,39,853.07692308
395,1,CL9,391,170,841.14705882
396,1,CL9,392,736,241.60733696
397,1,CL9,393,200,1485.44
398,1,CL9,394,1441,111.41221374
399,1,CL9,395,337,486.23145401
400,1,CL9,396,345,467.31014493
401,1,CL9,397,1725,310.09623188
402,1,CL9,398,746,173.34182306
403,1,CL9,399,239,376.29707113
405,1,CL9,401,1442,72.488210818
406,1,CL9,402,272,102.69117647
407,1,CL9,403,2291,127.47970319
409,1,CL9,405,184,444.64673913
410,1,CL9,406,113,396.23893805
411,1,CL9,407,205,192.25365854
412,1,CL9,408,451,158.38137472
413,1,CL9,409,1258,34.733704293
415,1,CL9,411,2374,84.354254423
416,1,CL9,412,200,259.595
417,1,CL9,413,34,215.02941176
418,1,CL9,414,12,155.08333333
419,1,CL9,415,1598,186.59261577
420,1,CL9,416,2963,120.49746878
421,1,CL9,417,9,658.33333333
422,1,CL9,418,968,240.78409091
426,1,CL9,422,1038,909.60019268
429,1,CL9,425,2180,134.56697248
430,1,CL9,426,367,108.26158038
431,1,CL9,427,1973,274.99391789
432,1,CL9,428,345,149.83188406
434,1,CL9,430,68,132.19117647
436,1,CL9,432,109,237.82568807
437,1,CL9,433,86,688.01162791
438,1,CL9,434,439,123.34851936
439,1,CL9,435,915,74.876502732
441,1,CL9,437,667,179.50224888
442,1,CL9,438,3061,172.54557334
443,1,CL9,439,2305,38.073752711
444,1,CL9,440,388,788.47164948
445,1,CL9,441,515,113.49902913
446,1,CL9,442,359,151.8913649
447,1,CL9,443,362,975.69060773
448,1,CL9,444,54,151.66666667
449,1,CL9,445,410,513.16097561
450,1,CL9,446,496,167.98790323
451,1,CL9,447,2279,124.3413778
453,1,CL9,449,8,1443.75
454,1,CL9,450,10,493.5
455,1,CL9,451,583,759.76329331
456,1,CL9,452,1861,90.559914025
457,1,CL9,453,546,91.386446886
458,1,CL9,454,112,187.99107143
459,1,CL9,455,721,1600.8654646
460,1,CL9,456,30,307.56666667
461,1,CL9,457,120,2067.9166667
463,1,CL9,459,19,664.47368421
464,1,CL9,460,78,1067.4871795
465,1,CL9,461,107,1114.8130841
466,1,CL9,462,1018,338.08939096
467,1,CL9,463,1474,35.597014925
468,1,CL9,464,2,2000
