"","store_id","CLUSTER","CLUSNAME","VAR1","n","avg"
"1",3,1,"CL9",4,5.94803498918065,5.09937276971459
"2",4,1,"CL9",5,7.64108424917491,4.86624787725203
"3",5,1,"CL9",6,4.82028156560504,7.30478165513765
"4",6,1,"CL9",7,7.88344635413774,6.26135572067001
"5",7,1,"CL9",8,4.80402104473326,6.79975010353691
"6",8,1,"CL9",9,7.05012252026906,6.10283795511899
"7",9,1,"CL9",10,2.56494935746154,7.32646561384032
"8",10,1,"CL9",11,1.94591014905531,7.17121784117674
"9",12,1,"CL9",12,7.20934025660291,6.52205472748959
"10",14,1,"CL9",14,6.96318998587024,5.3013543774084
"11",15,1,"CL9",15,5.605802066296,4.90527477843843
"12",16,1,"CL9",16,4.52178857704904,6.15711714847706
"13",18,1,"CL9",17,6.84694313958538,5.20359203161361
"14",19,1,"CL9",18,5.76832099579377,6.08400099731492
"15",20,1,"CL9",19,4.92725368515721,5.24136353535022
"16",21,1,"CL9",20,6.01126717440416,4.95268071566019
"17",25,1,"CL9",24,6.18001665365257,5.53061147016591
"18",26,1,"CL9",25,6.80350525760834,6.36320987736343
"19",27,1,"CL9",26,4.48863636973214,7.37550215016391
"20",28,1,"CL9",27,7.91315518592807,4.61299169518077
"21",29,1,"CL9",28,4.82028156560504,4.86043736531196
"22",31,1,"CL9",30,2.94443897916644,7.60090245954208
"23",32,1,"CL9",31,7.82763954636642,4.83543063972632
"24",35,1,"CL9",34,7.26752542782817,4.48204404578787
"25",36,1,"CL9",35,6.24027584517077,6.97560519738699
"26",37,1,"CL9",36,6.60800062529609,5.50484317296274
"27",38,1,"CL9",37,6.43615036836943,5.94171358497748
"28",40,1,"CL9",39,7.58222919427646,4.53476630567122
"29",41,1,"CL9",40,5.63835466933375,4.89959106737759
"30",42,1,"CL9",41,2.89037175789616,5.1374310904872
"31",43,1,"CL9",42,7.54802896993501,5.009787983897
"32",46,1,"CL9",45,6.96602418710611,4.63551636826169
"33",48,1,"CL9",46,3.25809653802148,6.95837526980671
"34",49,1,"CL9",47,7.74109909003537,5.41644608582673
"35",53,1,"CL9",51,3.13549421592915,6.78140302352134
"36",56,1,"CL9",54,2.77258872223978,7.0143650140404
"37",57,1,"CL9",55,4.36944785246702,6.95349075223503
"38",58,1,"CL9",56,3.8286413964891,6.83225838285839
