store_id,CLUSTER,CLUSNAME,VAR1,n,avg,hour2_p,hour6_p,hour10_p,hour14_p,hour18_p,hour22_p,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8
1,1,CL9,2,40,3698.75,0,0,2.5,57.5,27.5,0,-0.879306047,-0.091122447,-1.522413212,0.7690442128,1.3163589233,0.9199128182,0.035543013,-0.191214017
3,1,CL9,4,383,163.91906005,0,0,28.981723238,62.140992167,8.0939947781,0,-1.628951931,0.4740300776,-1.054202036,-1.130242133,0.6978813585,0.2698764764,-0.145546563,0.0359260127
5,1,CL9,6,124,1487.3951613,0,8.8709677419,20.967741935,41.935483871,20.967741935,0,-1.120910608,0.6818401108,-0.294641283,0.4590780853,0.7924513818,-0.600833858,-0.016048696,-0.087141974
9,1,CL9,10,13,1520,0,0,46.153846154,38.461538462,7.6923076923,0,-1.548356284,0.8425329675,-0.788791204,-0.530083686,-0.744359657,0.194684971,-0.146223005,-0.135967583
10,1,CL9,11,7,1301.4285714,0,0,14.285714286,71.428571429,14.285714286,0,-1.490631363,0.2262438772,-1.478562826,-0.588154349,1.4444516465,0.5756191828,-0.077554853,0.0771246071
36,1,CL9,35,513,1070.2046784,0,0,36.452241715,45.614035088,8.1871345029,0,-1.463472935,0.6627553762,-0.81818337,-0.684352218,-0.124667138,0.2772389847,-0.162195915,-0.183470545
42,1,CL9,41,18,170.27777778,0,0,11.111111111,61.111111111,27.777777778,0,-1.001517334,-0.443109797,-1.069436584,-0.578338463,1.2873937478,0.1875981445,0.071860916,0.0998963626
44,1,CL9,43,8,9771.125,0,0,75,25,0,0,-2.372060636,2.5024997901,-1.491105126,2.0989963084,-2.643246496,1.739768347,-0.156087631,0.0519167591
48,1,CL9,46,26,1051.9230769,0,0,15.384615385,65.384615385,15.384615385,0,-1.354554365,0.1634738489,-1.325427349,-0.592141455,1.2318422578,0.4519372849,-0.076302872,-0.016134459
56,1,CL9,54,16,1112.5,0,6.25,18.75,43.75,31.25,0,-0.938417179,0.0626253869,-0.402574111,0.3524767835,0.7794947517,-0.447731441,0.1225570504,0.1083498521
58,1,CL9,56,46,927.2826087,0,0,8.6956521739,76.086956522,13.043478261,0,-1.460466459,0.1596419023,-1.549802562,-0.746998843,1.8168237769,0.5726031112,-0.105416878,0.0227917253
61,1,CL9,59,2,542.5,0,0,0,100,0,0,-1.909798827,0.4885669682,-2.075379312,-1.33087102,2.905494772,0.8156684125,-0.259382097,0.0542310513
62,1,CL9,60,33,179.54545455,0,0,27.272727273,48.484848485,24.242424242,0,-1.123316965,-0.132775344,-0.7739376,-0.637597805,0.3077466651,0.0209551906,0.0459661598,0.0864701146
66,1,CL9,64,3676,60.798422198,0,3.9717083787,16.566920566,36.996735582,38.873775843,0,-0.58903023,-0.488726634,0.4393503739,0.0116359953,0.7047751921,0.0042333597,0.159028265,0.0249551081
69,1,CL9,67,196,2142.1326531,0,0,17.346938776,64.795918367,15.306122449,0,-1.440245044,0.3303325794,-1.410621529,-0.228050517,1.090869387,0.6965483509,-0.069294889,0.0177255952
71,1,CL9,69,2185,102.28787185,0,0.1372997712,55.652173913,24.302059497,18.901601831,0,-1.299294253,0.4019567182,0.2124225824,-0.767018289,-1.382641637,-0.012759446,-0.013419315,0.0358454469
73,1,CL9,71,3102,24.42972276,0,0.0322372663,27.079303675,41.811734365,29.916183108,0,-0.931729189,-0.323839193,-0.009517994,-0.562464039,0.2282311165,0.35091899,0.0777959053,0.0627556867
74,1,CL9,72,68,230.39705882,0,0,26.470588235,54.411764706,19.117647059,0,-1.290934165,0.051227573,-0.920499376,-0.779833752,0.5242634391,0.121611371,-0.014401182,0.077390585
76,1,CL9,74,26,166.23076923,0,0,11.538461538,46.153846154,38.461538462,0,-0.567261016,-0.830268068,-0.72701171,-0.204888292,0.8010326791,-0.01439308,0.1846479391,0.0255334341
79,1,CL9,77,20,343.25,0,5,10,55,20,0,-1.028191957,0.1807701657,-0.727787188,-0.259082697,1.4326828375,-0.303644888,-0.048739103,-0.156152595
81,1,CL9,79,8,413.75,0,0,25,50,25,0,-1.108538817,-0.156135065,-0.843720316,-0.538764579,0.4241241991,0.087039044,0.0536846599,0.0896366743
82,1,CL9,80,6148,24.304977228,0,1.8054651919,19.290826285,37.979830839,39.427456083,0,-0.639689622,-0.600088021,0.778266514,-0.214845863,0.6027077884,0.579111163,0.1501776285,0.0707072607
85,1,CL9,83,50,6470,0,0,34,50,10,2,-1.663682219,1.286285598,-1.685480903,1.2012424933,-0.201762314,1.4064741947,-0.186859173,-0.000802846
89,1,CL9,87,246,335.86178862,0,2.8455284553,20.325203252,43.902439024,31.707317073,0,-0.860826554,-0.266059374,-0.473807823,-0.14779565,0.578544829,-0.249231689,0.1208046738,0.0746152359
98,1,CL9,96,1996,32.144789579,0,0,15.130260521,42.434869739,37.675350701,0.9018036072,-0.549611489,-0.742706328,-0.256936732,-0.297093445,0.6356010947,0.2063069948,0.1213438069,0.0271961671
99,1,CL9,97,6,1608.3333333,0,0,50,33.333333333,16.666666667,0,-1.443983309,0.5779954884,-0.614930427,-0.306379234,-1.061966479,0.1163078822,-0.01517976,0.0673691128
100,1,CL9,98,1218,233.66420361,0,0.0821018062,23.727422003,43.596059113,31.773399015,0,-0.872149432,-0.420307695,-0.430377229,-0.40537882,0.325810028,0.1315729693,0.1162269865,0.0799831527
102,1,CL9,100,101,245.38613861,0,0,11.881188119,39.603960396,30.693069307,2.9702970297,-0.385658896,-0.500785401,-0.687684446,-0.259264463,0.597667857,-0.02496893,-0.063336289,-0.228642307
103,1,CL9,101,90,245.27777778,0,1.1111111111,23.333333333,53.333333333,21.111111111,0,-1.200508228,0.0207117416,-0.831459877,-0.625207207,0.668920777,0.0092051747,0.0022706076,0.0556740041
113,1,CL9,111,31,1759.3548387,0,0,19.35483871,32.258064516,38.709677419,0,-0.500831949,-0.554340907,-0.643437161,0.4506557906,0.0050361981,0.1475220151,0.1831033773,-0.11475213
115,1,CL9,113,1500,32.141333333,0,1.0666666667,26,35.933333333,34.733333333,0,-0.737249257,-0.458946132,-0.116895184,-0.291814624,0.0812653539,-0.065853591,0.1449239859,0.0483863581
116,1,CL9,114,266,354.43233083,0,0,27.067669173,44.360902256,27.443609023,0,-1.003745734,-0.22735796,-0.658312354,-0.470129314,0.1847861277,0.0369444271,0.0779043897,0.0650828144
117,1,CL9,115,360,178.81944444,0,0,10.833333333,47.222222222,37.222222222,0.2777777778,-0.579528504,-0.784201152,-0.698984081,-0.23764222,0.8732928356,0.0568130349,0.1529407607,0.0110871652
119,1,CL9,117,233,319.18454936,0,0.8583690987,27.038626609,65.236051502,5.5793991416,0,-1.703638777,0.6197492386,-1.131400853,-1.08450423,0.9036490035,0.2441645895,-0.176065061,0.0208262461
124,1,CL9,122,181,1201.9944751,0,0,3.3149171271,56.906077348,38.121546961,0,-0.675030849,-0.774022468,-1.070158579,0.0926477884,1.3864374484,0.3698898929,0.1816392341,0.0849236911
125,1,CL9,123,36,519.58333333,0,5.5555555556,16.666666667,75,2.7777777778,0,-1.82838461,0.9504856383,-1.139176795,-0.78532252,1.8421483665,-0.056741074,-0.211985044,0.0541607632
133,1,CL9,131,48,307.70833333,0,0,22.916666667,39.583333333,35.416666667,2.0833333333,-0.640714609,-0.540616944,-0.585645081,-0.247014181,0.1745478896,-0.066590274,0.0841707467,0.1299811575
138,1,CL9,136,1747,459.61877504,0,0,21.350887235,38.008013738,36.920435031,0,-0.652362678,-0.607109248,-0.245045077,-0.157332716,0.2399036883,0.1935336147,0.1607195734,0.019433413
141,1,CL9,139,167,463.44311377,0,0,33.532934132,58.083832335,5.9880239521,0,-1.673430522,0.6354994234,-1.05212762,-1.053621896,0.3848262714,0.2508661385,-0.167335257,-0.007969458
143,1,CL9,141,483,384.31469979,0,0,28.157349896,36.85300207,34.161490683,0,-0.797721475,-0.452492579,-0.432555938,-0.258737046,-0.087676846,-0.032524599,0.1557561698,0.0841314266
144,1,CL9,142,2135,113.41405152,0,1.0772833724,29.742388759,46.229508197,22.341920375,0,-1.186414139,0.0528298997,-0.253303363,-0.664164118,0.2941015647,0.19026367,0.0037634668,0.063422989
145,1,CL9,143,181,279.94475138,0,0,33.701657459,41.436464088,22.099447514,0,-1.136804077,0.0288220841,-0.614150214,-0.619406038,-0.142078089,-0.023882112,0.0178492261,0.0123016013
149,1,CL9,147,229,1300.650655,0,6.1135371179,20.524017467,54.585152838,15.720524017,0,-1.379381499,0.6606189004,-0.691837928,-0.030150697,1.0570077305,-0.196457433,-0.06643579,0.0042119068
150,1,CL9,148,367,52.814713896,0,0,31.0626703,62.397820163,4.9046321526,0,-1.707608671,0.597956501,-1.059079482,-1.250098588,0.6383075655,0.2518048386,-0.183360882,0.0079775746
154,1,CL9,152,81,1612.962963,0,1.2345679012,11.111111111,51.851851852,33.333333333,0,-0.832636762,-0.37836909,-0.960759196,0.2169124504,0.9957726257,0.2604939854,0.1334185576,0.0548151544
155,1,CL9,153,916,990.45851528,0,0.7641921397,26.965065502,45.19650655,21.943231441,0,-1.123015671,0.1082259504,-0.62538606,-0.323649498,0.2576023851,0.2212505934,-0.002009823,-0.041785135
157,1,CL9,155,24,850.41666667,0,0,29.166666667,50,20.833333333,0,-1.265229057,0.0975376479,-0.902322094,-0.502652988,0.2534171868,0.184535566,0.0106652304,0.0814963403
158,1,CL9,156,570,166.50175439,0,0,27.368421053,41.754385965,30,0,-0.921080356,-0.336986485,-0.509434589,-0.465487141,0.1115831104,0.0044945479,0.1049739936,0.0746844362
160,1,CL9,158,2747,107.26465235,0,0,17.255187477,38.405533309,38.514743356,0.6188569348,-0.518999494,-0.736458738,-0.03333757,-0.239867935,0.4572124009,0.2802346313,0.1339413696,-0.008980673
168,1,CL9,166,75,132.78666667,0,0,17.333333333,48,32,0,-0.804642059,-0.533481022,-0.757074711,-0.413178644,0.6549804505,0.0124083889,0.1180715142,0.0397020721
170,1,CL9,168,65,201,0,0,33.846153846,40,20,0,-1.120870298,0.0920986712,-0.618591918,-0.667486416,-0.188134435,-0.067502684,-0.015631639,-0.074592537
172,1,CL9,170,1442,49.29334258,0,0.7628294036,23.092926491,43.966712899,31.622746186,0,-0.876439648,-0.396113765,-0.330244237,-0.432038355,0.4178873496,0.0658299747,0.1118320928,0.0857314024
173,1,CL9,171,2996,147.75901202,0,0,16.154873164,39.519359146,42.757009346,0,-0.507950413,-0.900276101,0.0203320418,-0.152730426,0.5331727631,0.3253691045,0.2167143012,0.0818438358
176,1,CL9,174,138,949.66666667,0,2.8985507246,45.652173913,42.753623188,5.7971014493,0,-1.696407075,1.0367697035,-0.588391042,-0.628841667,-0.391931589,-0.134902998,-0.157690325,-0.023130354
189,1,CL9,187,7,764.28571429,0,0,28.571428571,42.857142857,0,0,-1.266647903,0.809549716,-0.952383393,-0.826443591,0.0943228038,0.1529324684,-0.316880366,-0.655494105
192,1,CL9,190,16,7400,0,6.25,25,12.5,43.75,6.25,-0.305544803,0.564012242,-0.570464629,3.0690182474,-0.752692662,0.499005321,0.0142017176,0.0578495754
193,1,CL9,191,730,58.935616438,0,1.2328767123,44.246575342,32.465753425,18.767123288,0,-1.231435835,0.3295291229,-0.203131093,-0.679338625,-0.69931547,-0.225316173,-0.018576631,-0.012452535
194,1,CL9,192,310,216.52580645,0,0,20.322580645,44.193548387,33.548387097,0,-0.778939679,-0.542209879,-0.625956469,-0.341524886,0.4301360287,0.0100912962,0.1390452516,0.0590275956
195,1,CL9,193,275,1279.9709091,0,0.3636363636,37.818181818,43.272727273,10.909090909,0,-1.433329481,0.6299138528,-0.795270218,-0.517224397,-0.249779244,0.2121945389,-0.11999643,-0.126192719
198,1,CL9,196,16,1387.1875,0,0,43.75,50,0,0,-1.822913408,1.0794360337,-1.043633546,-0.836361614,-0.285428728,0.3266773626,-0.23392576,-0.114416901
199,1,CL9,197,60,224.66666667,0,0,6.6666666667,48.333333333,40,0,-0.491558577,-0.933807603,-0.785646639,-0.13800354,1.0444472466,0.0348812044,0.1943415995,0.0023855936
203,1,CL9,201,249,40.124497992,0,3.6144578313,33.734939759,41.767068273,19.277108434,0,-1.245254687,0.3496000013,-0.357410883,-0.530387444,0.0932366188,-0.404484532,-0.013004609,0.0356963091
206,1,CL9,204,372,106.59139785,0,0,12.365591398,44.892473118,42.204301075,0,-0.524176797,-0.95740841,-0.595524769,-0.155528508,0.7422172301,-0.003625011,0.2351373382,0.1121870126
208,1,CL9,206,2,857,0,0,50,50,0,0,-1.946680373,1.0873968329,-0.93426451,-1.078651899,-0.491044159,0.1964039503,-0.211147644,0.0340099344
213,1,CL9,211,26,191.84615385,0,0,38.461538462,46.153846154,11.538461538,0,-1.448939572,0.4514453107,-0.7650711,-0.943855171,-0.16086322,0.0088068763,-0.102218036,-0.035829693
219,1,CL9,217,18,507.22222222,0,0,0,66.666666667,33.333333333,0,-0.83301117,-0.726075277,-1.236981995,-0.322437139,1.8437120238,0.3313913866,0.1270313703,0.116012608
220,1,CL9,218,18,413.61111111,0,0,27.777777778,61.111111111,0,0,-1.657228977,0.7724031246,-1.214368733,-1.162415193,0.69720255,0.2859395121,-0.266933624,-0.229562815
225,1,CL9,223,30,691.33333333,0,0,16.666666667,66.666666667,10,0,-1.446335497,0.3247961766,-1.335169965,-0.845031356,1.2502152566,0.4046513357,-0.147282884,-0.096777354
