store_id,CLUSTER,CLUSNAME,VAR1,n,avg,hour2_p,hour6_p,hour10_p,hour14_p,hour18_p,hour22_p,mean_install,count_install_p,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10
3,1,CL15,4,383,163.91906005,0,0,28.981723238,62.140992167,8.0939947781,0,0.0052219321,0.0026109661,1.1225804268,-1.002521401,0.602106731,-1.662734677,0.1073911024,0.7370532962,0.2384862769,-0.147980954,0.1823262517,0.0240123283
10,1,CL15,11,7,1301.4285714,0,0,14.285714286,71.428571429,14.285714286,0,0,0,1.101319861,-0.761300391,0.1169007279,-1.683134323,-0.287913555,1.4738558572,0.6835498016,-0.081838307,0.3039914467,0.0583906256
36,1,CL15,35,513,1070.2046784,0,0,36.452241715,45.614035088,8.1871345029,0,0.2007797271,0.0565302144,1.3092957745,-0.47934042,0.6095383496,-1.157606476,0.2248036093,-0.057560605,0.3147510116,-0.162304277,0.0492245705,-0.188415433
42,1,CL15,41,18,170.27777778,0,0,11.111111111,61.111111111,27.777777778,0,0.1111111111,0.0555555556,0.7743191599,-0.640445853,-0.481113873,-1.209519403,-0.167859554,1.2858487897,0.0650488237,0.0717941037,0.0119038452,0.0978937153
58,1,CL15,56,46,927.2826087,0,0,8.6956521739,76.086956522,13.043478261,0,0,0,1.0537885831,-0.797032819,0.0696163647,-1.822792037,-0.288871989,1.8435466315,0.5721196961,-0.110202075,0.3048962298,0.0047196124
61,1,CL15,59,2,542.5,0,0,0,100,0,0,0,0,1.4525773685,-0.923367587,0.3662083971,-2.622517848,-0.245509149,2.9666354994,0.5664118544,-0.26619854,0.3776184154,0.0333867284
62,1,CL15,60,33,179.54545455,0,0,27.272727273,48.484848485,24.242424242,0,0.1818181818,0.0606060606,0.9190189145,-0.624927312,-0.111719279,-1.017497421,0.0592257492,0.3140323308,-0.034158215,0.0463989744,-0.01142254,0.086142694
69,1,CL15,67,196,2142.1326531,0,0,17.346938776,64.795918367,15.306122449,0,0.4540816327,0.1632653061,1.8387543614,0.1996586676,-0.173125116,-1.23493444,0.0310580207,1.2066317859,0.5053540139,-0.066652356,-0.144800091,0.0237180193
73,1,CL15,71,3102,24.42972276,0,0.0322372663,27.079303675,41.811734365,29.916183108,0,0,0,0.3933004213,-1.063754061,0.0213756672,-0.374896721,0.3355834945,0.3214422479,0.1999034361,0.0764127254,0.1075518991,0.0557801892
74,1,CL15,72,68,230.39705882,0,0,26.470588235,54.411764706,19.117647059,0,0.0441176471,0.0147058824,0.8741314897,-0.870429876,0.140654083,-1.295589065,-0.021378142,0.527294457,0.1575477734,-0.016045361,0.1341491105,0.0684390532
76,1,CL15,74,26,166.23076923,0,0,11.538461538,46.153846154,38.461538462,0,0,0,0.1515075978,-0.8008033,-0.740490196,-0.730931977,-0.352217025,0.739413536,0.1075948122,0.1823755277,0.1567226338,0.0160509473
79,1,CL15,77,20,343.25,0,5,10,55,20,0,0,0,0.6311441876,-0.708866054,0.2368676934,-0.918588757,-0.795770958,1.2605815337,-0.039194919,-0.05130542,0.1783916572,-0.167780974
89,1,CL15,87,246,335.86178862,0,2.8455284553,20.325203252,43.902439024,31.707317073,0,0.1260162602,0.0406504065,0.6138372207,-0.608375752,-0.213162198,-0.528146703,-0.403523118,0.4789853869,-0.099746216,0.1206332937,0.0352481271,0.0715463761
96,1,CL15,94,2012,40.599403579,0,0.0497017893,29.473161034,34.890656064,34.890656064,0,0,0,0.2649286382,-0.997412833,-0.178900657,-0.293259297,0.1633835017,-0.088425157,0.108477368,0.149094732,0.085561353,0.0781622534
98,1,CL15,96,1996,32.144789579,0,0,15.130260521,42.434869739,37.675350701,0.9018036072,0,0,0.0873001837,-0.89158283,-0.511973699,-0.387170612,-0.002578011,0.6589612411,0.1408051586,0.1194156001,0.1253901338,0.0197049735
99,1,CL15,97,6,1608.3333333,0,0,50,33.333333333,16.666666667,0,1,0.1666666667,2.0452121983,0.3816226601,0.1908752715,-0.548276361,0.5958168819,-0.970066834,-0.150948102,-0.02163571,0.1726985938,0.0690519476
100,1,CL15,98,1218,233.66420361,0,0.0821018062,23.727422003,43.596059113,31.773399015,0,0.0467980296,0.0164203612,0.4694558873,-0.84735758,-0.253800267,-0.617947883,0.0203800341,0.3418512992,0.1381711569,0.1152660943,0.089155666,0.0738200611
103,1,CL15,101,90,245.27777778,0,1.1111111111,23.333333333,53.333333333,21.111111111,0,0,0,0.7337335069,-0.900911939,0.1350698111,-1.159887706,-0.220604077,0.6258126229,0.1374734975,0.0001362001,0.169492967,0.0446032904
115,1,CL15,113,1500,32.141333333,0,1.0666666667,26,35.933333333,34.733333333,0,0,0,0.2507369606,-0.937297261,-0.189239366,-0.31840144,-0.054877945,0.0571276939,0.0278616481,0.1441234923,0.0901047005,0.041911085
116,1,CL15,114,266,354.43233083,0,0,27.067669173,44.360902256,27.443609023,0,0.0112781955,0.0037593985,0.56252694,-0.867209951,-0.097943491,-0.885695104,-0.087162772,0.1685029169,0.1837547692,0.0765808534,0.1334267474,0.0557923252
117,1,CL15,115,360,178.81944444,0,0,10.833333333,47.222222222,37.222222222,0.2777777778,0.1111111111,0.0416666667,0.3428969815,-0.599442645,-0.764356943,-0.678207044,-0.210313634,0.8475230273,0.0207778639,0.1523226004,0.036869328,0.008466225
119,1,CL15,117,233,319.18454936,0,0.8583690987,27.038626609,65.236051502,5.5793991416,0,0.0300429185,0.0128755365,1.258291785,-0.910810645,0.6900139574,-1.71389217,-0.005345333,0.9235022558,0.2319843298,-0.178267088,0.1681936456,0.0094956353
124,1,CL15,122,181,1201.9944751,0,0,3.3149171271,56.906077348,38.121546961,0,0.0165745856,0.0055248619,0.3660246813,-0.61747831,-0.874095426,-0.843029632,-0.524036307,1.3586074197,0.5358286374,0.178067302,0.2454354417,0.0703059149
125,1,CL15,123,36,519.58333333,0,5.5555555556,16.666666667,75,2.7777777778,0,0.3333333333,0.0555555556,1.7053730218,-0.485857483,0.8307730559,-1.547537408,-0.48492268,1.7435234555,-0.128110065,-0.217860657,0.2606320831,0.0433016326
133,1,CL15,131,48,307.70833333,0,0,22.916666667,39.583333333,35.416666667,2.0833333333,0.125,0.0416666667,0.4148671028,-0.564294934,-0.507432815,-0.614719037,-0.115753605,0.144658807,0.0108809955,0.0843509156,0.0183336506,0.1278648645
144,1,CL15,142,2135,113.41405152,0,1.0772833724,29.742388759,46.229508197,22.341920375,0,0.0037470726,0.0009367681,0.6629480387,-1.026538606,0.3349966734,-0.691544784,0.1580397438,0.3353714657,0.1543730147,0.002346107,0.1227307355,0.0550832623
149,1,CL15,147,229,1300.650655,0,6.1135371179,20.524017467,54.585152838,15.720524017,0,0.096069869,0.0262008734,1.1370010032,-0.513492113,0.5978658395,-0.788520606,-0.784742035,0.9066344739,0.181903938,-0.068173177,0.1628905296,-0.007204311
150,1,CL15,148,367,52.814713896,0,0,31.0626703,62.397820163,4.9046321526,0,0,0,1.1763920141,-1.040131136,0.749055694,-1.750721052,0.1570967474,0.6806518704,0.2080265203,-0.18583226,0.1836914733,-0.004058433
154,1,CL15,152,81,1612.962963,0,1.2345679012,11.111111111,51.851851852,33.333333333,0,0.0740740741,0.012345679,0.5951469494,-0.495357659,-0.518627292,-0.723044045,-0.575334578,0.9447336252,0.5541735507,0.1299169983,0.2534686646,0.03964992
157,1,CL15,155,24,850.41666667,0,0,29.166666667,50,20.833333333,0,0.375,0.0833333333,1.2724911068,-0.339475352,-0.043290118,-1.019174443,0.1172069516,0.2900982114,0.0917022965,0.0085860397,0.0842760043,0.0788380072
158,1,CL15,156,570,166.50175439,0,0,27.368421053,41.754385965,30,0,0.0438596491,0.0175438596,0.5198527264,-0.841015777,-0.182700127,-0.730764986,-0.005734912,0.1046939765,0.0779413933,0.1045799772,0.0683997471,0.0691729636
168,1,CL15,166,75,132.78666667,0,0,17.333333333,48,32,0,0.1066666667,0.04,0.5341098616,-0.666173214,-0.495772829,-0.859045633,-0.143935169,0.6305517455,0.0050940026,0.1176764302,0.0365411574,0.0367129915
170,1,CL15,168,65,201,0,0,33.846153846,40,20,0,0.1692307692,0.0615384615,0.9188107529,-0.590387175,0.1438294847,-0.930074308,0.1521104979,-0.179810209,-0.059537699,-0.013856399,-0.067386837,-0.073123922
171,1,CL15,169,131,1562.5572519,0,0,9.1603053435,35.877862595,45.038167939,0,0.0687022901,0.0229007634,0.1121702311,-0.357472606,-1.053506639,-0.221651796,-0.529140016,0.4479628939,0.4964129375,0.2432448933,0.1354984528,-0.115171122
172,1,CL15,170,1442,49.29334258,0,0.7628294036,23.092926491,43.966712899,31.622746186,0,0,0,0.3834053111,-0.962857162,-0.159217564,-0.578283966,-0.040057825,0.4133199439,0.0932347599,0.1102815801,0.1241505505,0.0777162585
194,1,CL15,192,310,216.52580645,0,0,20.322580645,44.193548387,33.548387097,0,0.064516129,0.0225806452,0.433034766,-0.751849388,-0.450671462,-0.727983595,-0.136162339,0.4056434412,0.0728749651,0.1381728382,0.0797706496,0.0534693389
199,1,CL15,197,60,224.66666667,0,0,6.6666666667,48.333333333,40,0,0.3,0.1166666667,0.5940082913,-0.205911629,-1.090715457,-0.592908314,-0.161260088,1.0320139319,-0.177230806,0.1969443166,-0.183511602,0.0121037011
203,1,CL15,201,249,40.124497992,0,3.6144578313,33.734939759,41.767068273,19.277108434,0,0,0,0.7506591486,-0.928458454,0.574901865,-0.775807114,-0.316572393,-0.023332194,-0.124794224,-0.013516944,0.0973974922,0.0277517408
206,1,CL15,204,372,106.59139785,0,0,12.365591398,44.892473118,42.204301075,0,0,0,0.0906175371,-0.848735058,-0.828495074,-0.579719142,-0.309705284,0.6893056227,0.0936255124,0.2329847777,0.1489253784,0.103394134
213,1,CL15,211,26,191.84615385,0,0,38.461538462,46.153846154,11.538461538,0,0.1538461538,0.0769230769,1.2535665436,-0.620043317,0.4903292737,-1.24062128,0.2732208668,-0.122124157,-0.035243525,-0.098597174,-0.148892931,-0.031564446
219,1,CL15,217,18,507.22222222,0,0,0,66.666666667,33.333333333,0,0.2777777778,0.1111111111,0.9091975402,-0.259413969,-0.967531083,-1.101558684,-0.234743525,1.8604801937,0.0468613922,0.1278508329,-0.085037889,0.1205852685
220,1,CL15,218,18,413.61111111,0,0,27.777777778,61.111111111,0,0,0,0,1.1911773039,-0.874678074,0.830489588,-1.845914618,0.0547734073,0.7300575235,0.3185437022,-0.26954487,0.1985189067,-0.243175982
222,1,CL15,220,1307,148.020658,0,0,18.515684774,38.17903596,42.693190513,0,0.0688599847,0.0206579954,0.1589586745,-0.785727009,-0.721419455,-0.262690916,-0.066772166,0.3359343492,0.0575134363,0.236548761,0.0695927631,0.1028580846
